[2023-11-28 01:03:12] Epoch 266/500 | Discriminator Loss: 0.000000 | Generator Loss: 50.954857
[2023-11-28 01:03:59] Epoch 267/500 | Discriminator Loss: 0.000000 | Generator Loss: 51.676746
[2023-11-28 01:04:47] Epoch 268/500 | Discriminator Loss: 0.000000 | Generator Loss: 52.595345
[2023-11-28 01:05:35] Epoch 269/500 | Discriminator Loss: 0.000000 | Generator Loss: 55.215981
[2023-11-28 01:06:22] Epoch 270/500 | Discriminator Loss: 0.000000 | Generator Loss: 52.326164
[2023-11-28 01:07:10] Epoch 271/500 | Discriminator Loss: 0.000000 | Generator Loss: 51.761425
[2023-11-28 01:07:58] Epoch 272/500 | Discriminator Loss: 0.000000 | Generator Loss: 49.956902
[2023-11-28 01:08:45] Epoch 273/500 | Discriminator Loss: 0.000000 | Generator Loss: 55.498528
[2023-11-28 01:09:33] Epoch 274/500 | Discriminator Loss: 0.000000 | Generator Loss: 52.150913
[2023-11-28 01:10:20] Epoch 275/500 | Discriminator Loss: 0.000000 | Generator Loss: 49.143822
[2023-11-28 01:11:07] Epoch 276/500 | Discriminator Loss: 0.000000 | Generator Loss: 55.141872
[2023-11-28 01:11:55] Epoch 277/500 | Discriminator Loss: 0.000000 | Generator Loss: 57.082340
[2023-11-28 01:12:42] Epoch 278/500 | Discriminator Loss: 0.000000 | Generator Loss: 50.660751
[2023-11-28 01:13:29] Epoch 279/500 | Discriminator Loss: 0.000000 | Generator Loss: 52.545982
[2023-11-28 01:14:17] Epoch 280/500 | Discriminator Loss: 0.000000 | Generator Loss: 57.477013
[2023-11-28 01:15:05] Epoch 281/500 | Discriminator Loss: 0.000000 | Generator Loss: 51.299519
[2023-11-28 01:15:53] Epoch 282/500 | Discriminator Loss: 0.000000 | Generator Loss: 52.513786
[2023-11-28 01:16:40] Epoch 283/500 | Discriminator Loss: 0.000000 | Generator Loss: 50.841103
[2023-11-28 01:17:28] Epoch 284/500 | Discriminator Loss: 0.000000 | Generator Loss: 54.928284
[2023-11-28 01:18:15] Epoch 285/500 | Discriminator Loss: 0.000000 | Generator Loss: 55.559795
